// Omitted instructions: All MMX instructions, LSL, LAR

AAA	37
MOVNTDQ m128, xmm1	66 0F E7
MOVNTDQA xmm1, m128	66 0F 38 2A
MOVNTI m32, r32	0F C3
MOVNTI m64, r64	REX.W + 0F C3
MOVNTPD m128, xmm1	66 0F 2B
MOVNTPS m128, xmm1	0F 2B
MOVQ xmm1, xmm2/m64	F3 0F 7E
MOVQ xmm2/m64, xmm1	66 0F D6
MOVSD xmm1, xmm2	F2 0F 10
MOVSD xmm1, m64	F2 0F 10
MOVSD xmm1/m64, xmm2	F2 0F 11
MOVSHDUP xmm1, xmm2/m128	F3 0F 16
MOVSLDUP xmm1, xmm2/m128	F3 0F 12
MOVSS xmm1, xmm2	F3 0F 10
MOVSS xmm1, m32	F3 0F 10
MOVSS xmm2/m32, xmm1	F3 0F 11
MOVSX r16, r/m8	0F BE
MOVSX r32, r/m8	0F BE
MOVSX r64, r/m8	REX + 0F BE
MOVSX r32, r/m16	0F BF
MOVSX r64, r/m16	REX.W + 0F BF
MOVSXD r64, r/m32	REX.W + 63
MOVS m8, m8	A4
MOVS m16, m16	A5
MOVS m32, m32	A5
MOVS m64, m64	REX.W + A5
MOVSB	A4
MOVSW	A5
MOVSD	A5
MOVSQ	REX.W + A5
MOVUPD xmm1, xmm2/m128	66 0F 10
MOVUPD xmm2/m128, xmm1	66 0F 11
MOVUPS xmm1, xmm2/m128	0F 10
MOVUPS xmm2/m128, xmm1	0F 11
MOVZX r16, r/m8	0F B6
MOVZX r32, r/m8	0F B6
MOVZX r64, r/m8	REX.W + 0F B6
MOVZX r32, r/m16	0F B7
MOVZX r64, r/m16	REX.W + 0F B7
MPSADBW xmm1, xmm2/m128, imm8	66 0F 3A 42
MUL r/m8	F6 /4
MUL r/m8	REX + F6 /4
MUL r/m16	F7 /4
MUL r/m32	F7 /4
MUL r/m64	REX.W + F7 /4
MULPD xmm1, xmm2/m128	66 0F 59
MULPS xmm1, xmm2/m128	0F 59
MULSD xmm1,xmm2/m64	F2 0F 59
MULSS xmm1,xmm2/m32	F3 0F 59
MWAIT	0F 01 C9
NEG r/m8	F6 /3
NEG r/m8	REX + F6 /3
NEG r/m16	F7 /3
NEG r/m32	F7 /3
NEG r/m64	REX.W + F7 /3
NOP	90
NOP r/m16	0F 1F /0
NOP r/m32	0F 1F /0
NOT r/m8	F6 /2
NOT r/m8	REX + F6 /2
NOT r/m16	F7 /2
NOT r/m32	F7 /2
NOT r/m64	REX.W + F7 /2
OR AL, imm8	0C
OR AX, imm16	0D
OR EAX, imm32	0D
OR RAX, imm32	REX.W + 0D
OR r/m8, imm8	80 /1
OR r/m8, imm8	REX + 80 /1
OR r/m16, imm16	81 /1
OR r/m32, imm32	81 /1
OR r/m64, imm32	REX.W + 81 /1
OR r/m16, imm8	83 /1
OR r/m32, imm8	83 /1
OR r/m64, imm8	REX.W + 83 /1
OR r/m8, r8	08
OR r/m8, r8	REX + 08
OR r/m16, r16	09
OR r/m32, r32	09
OR r/m64, r64	REX.W + 09
OR r8, r/m8	0A
OR r8, r/m8	REX + 0A
OR r16, r/m16	0B
OR r32, r/m32	0B
OR r64, r/m64	REX.W + 0B
ORPD xmm1, xmm2/m128	66 0F 56
ORPS xmm1, xmm2/m128	0F 56
OUT imm8, AL	E6
OUT imm8, AX	E7
OUT imm8, EAX	E7
OUT DX, AL	EE
OUT DX, AX	EF
OUT DX, EAX	EF
OUTS DX, m8	6E
OUTS DX, m16	6F
OUTS DX, m32	6F
OUTSB	6E
OUTSW	6F
OUTSD	6F
PABSB xmm1, xmm2/m128	66 0F 38 1C
PABSW xmm1, xmm2/m128	66 0F 38 1D
PABSD xmm1, xmm2/m128	66 0F 38 1E
PACKSSWB xmm1, xmm2/m128	66 0F 63
PACKSSDW xmm1, xmm2/m128	66 0F 6B
PACKUSDW xmm1, xmm2/m128	66 0F 38 2B
PACKUSWB xmm1, xmm2/m128	66 0F 67
PADDB xmm1, xmm2/m128	66 0F FC
PADDW xmm1, xmm2/m128	66 0F FD
PADDD xmm1, xmm2/m128	66 0F FE
PADDQ xmm1, xmm2/m128	66 0F D4
PADDSB xmm1, xmm2/m128	66 0F EC
PADDSW xmm1, xmm2/m128	66 0F ED
PADDUSB xmm1, xmm2/m128	66 0F DC
PADDUSW xmm1, xmm2/m128	66 0F DD
PALIGNR xmm1, xmm2/m128, imm8	66 0F 3A 0F
PAND xmm1, xmm2/m128	66 0F DB
PANDN xmm1, xmm2/m128	66 0F DF
PAUSE	F3 90
PAVGB xmm1, xmm2/m128	66 0F E0,
PAVGW xmm1, xmm2/m128	66 0F E3
PBLENDVB xmm1, xmm2/m128, <XMM0>	66 0F 38 10
PBLENDW xmm1, xmm2/m128, imm8	66 0F 3A 0E
PCLMULQDQ xmm1, xmm2/m128, imm8	66 0F 3A 44
PCMPEQB xmm1, xmm2/m128	66 0F 74
PCMPEQW xmm1, xmm2/m128	66 0F 75
PCMPEQD xmm1, xmm2/m128	66 0F 76
PCMPEQQ xmm1, xmm2/m128	66 0F 38 29
PCMPESTRI xmm1, xmm2/m128, imm8	66 0F 3A 61  imm8
PCMPESTRM xmm1, xmm2/m128, imm8	66 0F 3A 60  imm8
PCMPGTB xmm1, xmm2/m128	66 0F 64
PCMPGTW xmm1, xmm2/m128	66 0F 65
PCMPGTD xmm1, xmm2/m128	66 0F 66
PCMPGTQ xmm1,xmm2/m128	66 0F 38 37
PCMPISTRI xmm1, xmm2/m128, imm8	66 0F 3A 63  imm8
PCMPISTRM xmm1, xmm2/m128, imm8	66 0F 3A 62  imm8
PEXTRB reg/m8, xmm2, imm8	66 0F 3A 14
PEXTRD r/m32, xmm2, imm8	66 0F 3A 16
PEXTRQ r/m64, xmm2, imm8	66 REX.W 0F 3A 16
PEXTRW reg, xmm, imm8	66 0F C5
PEXTRW reg/m16, xmm, imm8	66 0F 3A 15
PHADDSW xmm1, xmm2/m128	66 0F 38 03
PHADDW xmm1, xmm2/m128	66 0F 38 01
PHADDD xmm1, xmm2/m128	66 0F 38 02
PHMINPOSUW xmm1, xmm2/m128	66 0F 38 41
PHSUBSW xmm1, xmm2/m128	66 0F 38 07
PHSUBW xmm1, xmm2/m128	66 0F 38 05
PHSUBD xmm1, xmm2/m128	66 0F 38 06
PINSRB xmm1, r32/m8, imm8	66 0F 3A 20
PINSRD xmm1, r/m32, imm8	66 0F 3A 22
PINSRQ xmm1, r/m64, imm8	66 REX.W 0F 3A 22
PINSRW xmm, r32/m16, imm8	66 0F C4
PMADDUBSW xmm1, xmm2/m128	66 0F 38 04
PMADDWD xmm1, xmm2/m128	66 0F F5
PMAXSB xmm1, xmm2/m128	66 0F 38 3C
PMAXSW xmm1, xmm2/m128	66 0F EE
PMAXSD xmm1, xmm2/m128	66 0F 38 3D
PMAXUB xmm1, xmm2/m128	66 0F DE
PMAXUW xmm1, xmm2/m128	66 0F 38 3E
PMAXUD xmm1, xmm2/m128	66 0F 38 3F
PMINSB xmm1, xmm2/m128	66 0F 38 38
PMINSW xmm1, xmm2/m128	66 0F EA
PMINSD xmm1, xmm2/m128	66 0F 38 39
PMINUB xmm1, xmm2/m128	66 0F DA
PMINUW xmm1, xmm2/m128	66 0F 38 3A
PMINUD xmm1, xmm2/m128	66 0F 38 3B
PMOVMSKB reg, xmm	66 0F D7
PMOVSXBW xmm1, xmm2/m64	66 0f 38 20
PMOVSXBD xmm1, xmm2/m32	66 0f 38 21
PMOVSXBQ xmm1, xmm2/m16	66 0f 38 22
PMOVSXWD xmm1, xmm2/m64	66 0f 38 23
PMOVSXWQ xmm1, xmm2/m32	66 0f 38 24
PMOVSXDQ xmm1, xmm2/m64	66 0f 38 25
PMOVZXBW xmm1, xmm2/m64	66 0f 38 30
PMOVZXBD xmm1, xmm2/m32	66 0f 38 31
PMOVZXBQ xmm1, xmm2/m16	66 0f 38 32
PMOVZXWD xmm1, xmm2/m64	66 0f 38 33
PMOVZXWQ xmm1, xmm2/m32	66 0f 38 34
PMOVZXDQ xmm1, xmm2/m64	66 0f 38 35
PMULDQ xmm1, xmm2/m128	66 0F 38 28
PMULHRSW xmm1, xmm2/m128	66 0F 38 0B
PMULHUW xmm1, xmm2/m128	66 0F E4
PMULHW xmm1, xmm2/m128	66 0F E5
PMULLD xmm1, xmm2/m128	66 0F 38 40
PMULLW xmm1, xmm2/m128	66 0F D5
PMULUDQ xmm1, xmm2/m128	66 0F F4
POP r/m16	8F /0
POP r/m32	8F /0
POP r/m64	8F /0
POP r16	58+ rw
POP r32	58+ rd
POP r64	58+ rd
POP DS	1F
POP ES	07
POP SS	17
POP FS	0F A1
POP FS	0F A1
POP FS	0F A1
POP GS	0F A9
POP GS	0F A9
POP GS	0F A9
POPA	61
POPAD	61
POPCNT r16, r/m16	F3 0F B8
POPCNT r32, r/m32	F3 0F B8
POPCNT r64, r/m64	F3 REX.W 0F B8
POPF	9D
POPFD	9D
POPFQ	9D
POR xmm1, xmm2/m128	66 0F EB
PREFETCHW m8	0F 0D /1
PREFETCHWT1 m8	0F 0D /2
PREFETCHT0 m8	0F 18 /1
PREFETCHT1 m8	0F 18 /2
PREFETCHT2 m8	0F 18 /3
PREFETCHNTA m8	0F 18 /0
PSADBW xmm1, xmm2/m128	66 0F F6
PSHUFB xmm1, xmm2/m128	66 0F 38 00
PSHUFD xmm1, xmm2/m128, imm8	66 0F 70
PSHUFHW xmm1, xmm2/m128, imm8	F3 0F 70
PSHUFLW xmm1, xmm2/m128, imm8	F2 0F 70
PSIGNB xmm1, xmm2/m128	66 0F 38 08
PSIGNW xmm1, xmm2/m128	66 0F 38 09
PSIGND xmm1, xmm2/m128	66 0F 38 0A
PSLLDQ xmm1, imm8	66 0F 73 /7
PSLLW xmm1, xmm2/m128	66 0F F1
PSLLW xmm1, imm8	66 0F 71 /6
PSLLD xmm1, xmm2/m128	66 0F F2
PSLLD xmm1, imm8	66 0F 72 /6
PSLLQ xmm1, xmm2/m128	66 0F F3
PSLLQ xmm1, imm8	66 0F 73 /6
PSRAW xmm1, xmm2/m128	66 0F E1
PSRAW xmm1, imm8	66 0F 71 /4
PSRAD xmm1, xmm2/m128	66 0F E2
PSRAD xmm1, imm8	66 0F 72 /4
PSRLDQ xmm1, imm8	66 0F 73 /3
PSRLW xmm1, xmm2/m128	66 0F D1
PSRLW xmm1, imm8	66 0F 71 /2
PSRLD xmm1, xmm2/m128	66 0F D2
PSRLD xmm1, imm8	66 0F 72 /2
PSRLQ xmm1, xmm2/m128	66 0F D3
PSRLQ xmm1, imm8	66 0F 73 /2
PSUBB xmm1, xmm2/m128	66 0F F8
PSUBW xmm1, xmm2/m128	66 0F F9
PSUBD xmm1, xmm2/m128	66 0F FA
PSUBQ xmm1, xmm2/m128	66 0F FB
PSUBSB xmm1, xmm2/m128	66 0F E8
PSUBSW xmm1, xmm2/m128	66 0F E9
PSUBUSB xmm1, xmm2/m128	66 0F D8
PSUBUSW xmm1, xmm2/m128	66 0F D9
PTEST xmm1, xmm2/m128	66 0F 38 17
PTWRITE r64/m64	F3 REX.W 0F AE /4
PTWRITE r32/m32	F3 0F AE /4
PUNPCKHBW xmm1, xmm2/m128	66 0F 68
PUNPCKHWD xmm1, xmm2/m128	66 0F 69
PUNPCKHDQ xmm1, xmm2/m128	66 0F 6A
PUNPCKHQDQ xmm1, xmm2/m128	66 0F 6D
PUNPCKLBW xmm1, xmm2/m128	66 0F 60
PUNPCKLWD xmm1, xmm2/m128	66 0F 61
PUNPCKLDQ xmm1, xmm2/m128	66 0F 62
PUNPCKLQDQ xmm1, xmm2/m128	66 0F 6C
PUSH r/m16	FF /6
PUSH r/m32	FF /6
PUSH r/m64	FF /6
PUSH r16	50
PUSH r32	50
PUSH r64	50
PUSH imm8	6A
PUSH imm16	68
PUSH imm32	68
PUSH CS	0E
PUSH SS	16
PUSH DS	1E
PUSH ES	06
PUSH FS	0F A0
PUSH GS	0F A8
PUSHA	60
PUSHAD	60
PUSHF	9C
PUSHFD	9C
PUSHFQ	9C
PXOR xmm1, xmm2/m128	66 0F EF
RCL r/m8, 1	D0 /2
RCL r/m8*, 1	REX + D0 /2
RCL r/m8, CL	D2 /2
RCL r/m8*, CL	REX + D2 /2
RCL r/m8, imm8	C0 /2
RCL r/m8*, imm8	REX + C0 /2
RCL r/m16, 1	D1 /2
RCL r/m16, CL	D3 /2
RCL r/m16, imm8	C1 /2
RCL r/m32, 1	D1 /2
RCL r/m64, 1	REX.W + D1 /2
RCL r/m32, CL	D3 /2
RCL r/m64, CL	REX.W + D3 /2
RCL r/m32, imm8	C1 /2
RCL r/m64, imm8	REX.W + C1 /2
RCR r/m8, 1	D0 /3
RCR r/m8*, 1	REX + D0 /3
RCR r/m8, CL	D2 /3
RCR r/m8*, CL	REX + D2 /3
RCR r/m8, imm8	C0 /3
RCR r/m8*, imm8	REX + C0 /3
RCR r/m16, 1	D1 /3
RCR r/m16, CL	D3 /3
RCR r/m16, imm8	C1 /3
RCR r/m32, 1	D1 /3
RCR r/m64, 1	REX.W + D1 /3
RCR r/m32, CL	D3 /3
RCR r/m64, CL	REX.W + D3 /3
RCR r/m32, imm8	C1 /3
RCR r/m64, imm8	REX.W + C1 /3
ROL r/m8, 1	D0 /0
ROL r/m8, 1	REX + D0 /0
ROL r/m8, CL	D2 /0
ROL r/m8, CL	REX + D2 /0
ROL r/m8, imm8	C0 /0
ROL r/m8, imm8	REX + C0 /0
ROL r/m16, 1	D1 /0
ROL r/m16, CL	D3 /0
ROL r/m16, imm8	C1 /0
ROL r/m32, 1	D1 /0
ROL r/m64, 1	REX.W + D1 /0
ROL r/m32, CL	D3 /0
ROL r/m64, CL	REX.W + D3 /0
ROL r/m32, imm8	C1 /0
ROL r/m64, imm8	REX.W + C1 /0
ROR r/m8, 1	D0 /1
ROR r/m8, 1	REX + D0 /1
ROR r/m8, CL	D2 /1
ROR r/m8, CL	REX + D2 /1
ROR r/m8, imm8	C0 /1
ROR r/m8, imm8	REX + C0 /1
ROR r/m16, 1	D1 /1
ROR r/m16, CL	D3 /1
ROR r/m16, imm8	C1 /1
ROR r/m32, 1	D1 /1
ROR r/m64, 1	REX.W + D1 /1
ROR r/m32, CL	D3 /1
ROR r/m64, CL	REX.W + D3 /1
ROR r/m32, imm8	C1 /1
ROR r/m64, imm8	REX.W + C1 /1
RCPPS xmm1, xmm2/m128	0F 53
RCPSS xmm1, xmm2/m32	F3 0F 53
RDFSBASE r32	F3 0F AE /0
RDFSBASE r64	F3 REX.W 0F AE /0
RDGSBASE r32	F3 0F AE /1
RDGSBASE r64	F3 REX.W 0F AE /1
RDMSR	0F 32
RDPID r32	F3 0F C7 /7
RDPID r64	F3 0F C7 /7
RDPKRU	0F 01 EE
RDPMC	0F 33
RDRAND r16	0F C7 /6
RDRAND r32	0F C7 /6
RDRAND r64	REX.W + 0F C7 /6
RDSEED r16	0F C7 /7
RDSEED r32	0F C7 /7
RDSEED r64	REX.W + 0F C7 /7
RDTSC	0F 31
RDTSCP	0F 01 F9
REP INS m8, DX	F3 6C
REP INS m8, DX	F3 6C
REP INS m16, DX	F3 6D
REP INS m32, DX	F3 6D
REP INS r/m32, DX	F3 6D
REP MOVS m8, m8	F3 A4
REP MOVS m8, m8	F3 REX.W A4
REP MOVS m16, m16	F3 A5
REP MOVS m32, m32	F3 A5
REP MOVS m64, m64	F3 REX.W A5
REP OUTS DX, r/m8	F3 6E
REP OUTS DX, r/m8*	F3 REX.W 6E
REP OUTS DX, r/m16	F3 6F
REP OUTS DX, r/m32	F3 6F
REP OUTS DX, r/m32	F3 REX.W 6F
REP LODS AL	F3 AC
REP LODS AL	F3 REX.W AC
REP LODS AX	F3 AD
REP LODS EAX	F3 AD
REP LODS RAX	F3 REX.W AD
REP STOS m8	F3 AA
REP STOS m8	F3 REX.W AA
REP STOS m16	F3 AB
REP STOS m32	F3 AB
REP STOS m64	F3 REX.W AB
REPE CMPS m8, m8	F3 A6
REPE CMPS m8, m8	F3 REX.W A6
REPE CMPS m16, m16	F3 A7
REPE CMPS m32, m32	F3 A7
REPE CMPS m64, m64	F3 REX.W A7
REPE SCAS m8	F3 AE
REPE SCAS m8	F3 REX.W AE
REPE SCAS m16	F3 AF
REPE SCAS m32	F3 AF
REPE SCAS m64	F3 REX.W AF
REPNE CMPS m8, m8	F2 A6
REPNE CMPS m8, m8	F2 REX.W A6
REPNE CMPS m16, m16	F2 A7
REPNE CMPS m32, m32	F2 A7
REPNE CMPS m64, m64	F2 REX.W A7
REPNE SCAS m8	F2 AE
REPNE SCAS m8	F2 REX.W AE
REPNE SCAS m16	F2 AF
REPNE SCAS m32	F2 AF
REPNE SCAS m64	F2 REX.W AF
RET	C3
RET	CB
RET imm16	C2
RET imm16	CA
ROUNDPD xmm1, xmm2/m128, imm8	66 0F 3A 09
ROUNDPS xmm1, xmm2/m128, imm8	66 0F 3A 08
ROUNDSD xmm1, xmm2/m64, imm8	66 0F 3A 0B
ROUNDSS xmm1, xmm2/m32, imm8	66 0F 3A 0A
RSM	0F AA
RSQRTPS xmm1, xmm2/m128	0F 52
RSQRTSS xmm1, xmm2/m32	F3 0F 52
SAHF	9E
SAL r/m8, 1	D0 /4
SAL r/m8, 1	REX + D0 /4
SAL r/m8, CL	D2 /4
SAL r/m8, CL	REX + D2 /4
SAL r/m8, imm8	C0 /4
SAL r/m8, imm8	REX + C0 /4
SAL r/m16, 1	D1 /4
SAL r/m16, CL	D3 /4
SAL r/m16, imm8	C1 /4
SAL r/m32, 1	D1 /4
SAL r/m64, 1	REX.W + D1 /4
SAL r/m32, CL	D3 /4
SAL r/m64, CL	REX.W + D3 /4
SAL r/m32, imm8	C1 /4
SAL r/m64, imm8	REX.W + C1 /4
SAR r/m8, 1	D0 /7
SAR r/m8, 1	REX + D0 /7
SAR r/m8, CL	D2 /7
SAR r/m8, CL	REX + D2 /7
SAR r/m8, imm8	C0 /7
SAR r/m8, imm8	REX + C0 /7
SAR r/m16,1	D1 /7
SAR r/m16, CL	D3 /7
SAR r/m16, imm8	C1 /7
SAR r/m32, 1	D1 /7
SAR r/m64, 1	REX.W + D1 /7
SAR r/m32, CL	D3 /7
SAR r/m64, CL	REX.W + D3 /7
SAR r/m32, imm8	C1 /7
SAR r/m64, imm8	REX.W + C1 /7
SHL r/m8, 1	D0 /4
SHL r/m8, 1	REX + D0 /4
SHL r/m8, CL	D2 /4
SHL r/m8, CL	REX + D2 /4
SHL r/m8, imm8	C0 /4
SHL r/m8, imm8	REX + C0 /4
SHL r/m16,1	D1 /4
SHL r/m16, CL	D3 /4
SHL r/m16, imm8	C1 /4
SHL r/m32,1	D1 /4
SHL r/m64,1	REX.W + D1 /4
SHL r/m32, CL	D3 /4
SHL r/m64, CL	REX.W + D3 /4
SHL r/m32, imm8	C1 /4
SHL r/m64, imm8	REX.W + C1 /4
SHR r/m8,1	D0 /5
SHR r/m8, 1	REX + D0 /5
SHR r/m8, CL	D2 /5
SHR r/m8, CL	REX + D2 /5
SHR r/m8, imm8	C0 /5
SHR r/m8, imm8	REX + C0 /5
SHR r/m16, 1	D1 /5
SHR r/m16, CL	D3 /5
SHR r/m16, imm8	C1 /5
SHR r/m32, 1	D1 /5
SHR r/m64, 1	REX.W + D1 /5
SHR r/m32, CL	D3 /5
SHR r/m64, CL	REX.W + D3 /5
SHR r/m32, imm8	C1 /5
SHR r/m64, imm8	REX.W + C1 /5
SBB AL, imm8	1C
SBB AX, imm16	1D
SBB EAX, imm32	1D
SBB RAX, imm32	REX.W + 1D
SBB r/m8, imm8	80 /3
SBB r/m8, imm8	REX + 80 /3
SBB r/m16, imm16	81 /3
SBB r/m32, imm32	81 /3
SBB r/m64, imm32	REX.W + 81 /3
SBB r/m16, imm8	83 /3
SBB r/m32, imm8	83 /3
SBB r/m64, imm8	REX.W + 83 /3
SBB r/m8, r8	18
SBB r/m8, r8	REX + 18
SBB r/m16, r16	19
SBB r/m32, r32	19
SBB r/m64, r64	REX.W + 19
SBB r8, r/m8	1A
SBB r8, r/m8	REX + 1A
SBB r16, r/m16	1B
SBB r32, r/m32	1B
SBB r64, r/m64	REX.W + 1B
SCAS m8	AE
SCAS m16	AF
SCAS m32	AF
SCAS m64	REX.W + AF
SCASB	AE
SCASW	AF
SCASD	AF
SCASQ	REX.W + AF
SETA r/m8	0F 97
SETA r/m8	REX + 0F 97
SETAE r/m8	0F 93
SETAE r/m8	REX + 0F 93
SETB r/m8	0F 92
SETB r/m8	REX + 0F 92
SETBE r/m8	0F 96
SETBE r/m8	REX + 0F 96
SETC r/m8	0F 92
SETC r/m8	REX + 0F 92
SETE r/m8	0F 94
SETE r/m8	REX + 0F 94
SETG r/m8	0F 9F
SETG r/m8	REX + 0F 9F
SETGE r/m8	0F 9D
SETGE r/m8	REX + 0F 9D
SETL r/m8	0F 9C
SETL r/m8	REX + 0F 9C
SETLE r/m8	0F 9E
SETLE r/m8	REX + 0F 9E
SETNA r/m8	0F 96
SETNA r/m8	REX + 0F 96
SETNAE r/m8	0F 92
SETNAE r/m8	REX + 0F 92
SETNB r/m8	0F 93
SETNB r/m8	REX + 0F 93
SETNBE r/m8	0F 97
SETNBE r/m8	REX + 0F 97
SETNC r/m8	0F 93
SETNC r/m8	REX + 0F 93
SETNE r/m8	0F 95
SETNE r/m8	REX + 0F 95
SETNG r/m8	0F 9E
SETNG r/m8	REX + 0F 9E
SETNGE r/m8	0F 9C
SETNGE r/m8	REX + 0F 9C
SETNL r/m8	0F 9D
SETNL r/m8	REX + 0F 9D
SETNLE r/m8	0F 9F
SETNLE r/m8	REX + 0F 9F
SETNO r/m8	0F 91
SETNO r/m8	REX + 0F 91
SETNP r/m8	0F 9B
SETNP r/m8	REX + 0F 9B
SETNS r/m8	0F 99
SETNS r/m8	REX + 0F 99
SETNZ r/m8	0F 95
SETNZ r/m8	REX + 0F 95
SETO r/m8	0F 90
SETO r/m8	REX + 0F 90
SETP r/m8	0F 9A
SETP r/m8	REX + 0F 9A
SETPE r/m8	0F 9A
SETPE r/m8	REX + 0F 9A
SETPO r/m8	0F 9B
SETPO r/m8	REX + 0F 9B
SETS r/m8	0F 98
SETS r/m8	REX + 0F 98
SETZ r/m8	0F 94
SETZ r/m8	REX + 0F 94
SFENCE	0F AE F8
SGDT m	0F 01 /0
SHA1MSG1 xmm1, xmm2/m128	0F 38 C9
SHA1MSG2 xmm1, xmm2/m128	0F 38 CA
SHA1NEXTE xmm1, xmm2/m128	0F 38 C8
SHA1RNDS4 xmm1, xmm2/m128, imm8	0F 3A CC
SHA256MSG1 xmm1, xmm2/m128	0F 38 CC
SHA256MSG2 xmm1, xmm2/m128	0F 38 CD
SHA256RNDS2 xmm1, xmm2/m128, <XMM0>	0F 38 CB
SHLD r/m16, r16, imm8	0F A4
SHLD r/m16, r16, CL	0F A5
SHLD r/m32, r32, imm8	0F A4
SHLD r/m64, r64, imm8	REX.W + 0F A4
SHLD r/m32, r32, CL	0F A5
SHLD r/m64, r64, CL	REX.W + 0F A5
SHRD r/m16, r16, imm8	0F AC
SHRD r/m16, r16, CL	0F AD
SHRD r/m32, r32, imm8	0F AC
SHRD r/m64, r64, imm8	REX.W + 0F AC
SHRD r/m32, r32, CL	0F AD
SHRD r/m64, r64, CL	REX.W + 0F AD
SHUFPD xmm1, xmm2/m128, imm8	66 0F C6
SHUFPS xmm1, xmm3/m128, imm8	0F C6
SIDT m	0F 01 /1
SLDT r/m16	0F 00 /0
SLDT r64/m16	REX.W + 0F 00 /0
SMSW r/m16	0F 01 /4
SMSW r32/m16	0F 01 /4
SMSW r64/m16	REX.W + 0F 01 /4
SQRTPD xmm1, xmm2/m128	66 0F 51
SQRTPS xmm1, xmm2/m128	0F 51
SQRTSD xmm1,xmm2/m64	F2 0F 51
SQRTSS xmm1, xmm2/m32	F3 0F 51
STAC	0F 01 CB
STC	F9
STD	FD
STI	FB
STMXCSR m32	0F AE /3
STOS m8	AA
STOS m16	AB
STOS m32	AB
STOS m64	REX.W + AB
STOSB	AA
STOSW	AB
STOSD	AB
STOSQ	REX.W + AB
STR r/m16	0F 00 /1
SUB AL, imm8	2C
SUB AX, imm16	2D
SUB EAX, imm32	2D
SUB RAX, imm32	REX.W + 2D
SUB r/m8, imm8	80 /5
SUB r/m8, imm8	REX + 80 /5
SUB r/m16, imm16	81 /5
SUB r/m32, imm32	81 /5
SUB r/m64, imm32	REX.W + 81 /5
SUB r/m16, imm8	83 /5
SUB r/m32, imm8	83 /5
SUB r/m64, imm8	REX.W + 83 /5
SUB r/m8, r8	28
SUB r/m8, r8	REX + 28
SUB r/m16, r16	29
SUB r/m32, r32	29
SUB r/m64, r64	REX.W + 29
SUB r8, r/m8	2A
SUB r8, r/m8	REX + 2A
SUB r16, r/m16	2B
SUB r32, r/m32	2B
SUB r64, r/m64	REX.W + 2B
SUBPD xmm1, xmm2/m128	66 0F 5C
SUBPS xmm1, xmm2/m128	0F 5C
SUBSD xmm1, xmm2/m64	F2 0F 5C
SUBSS xmm1, xmm2/m32	F3 0F 5C
SWAPGS	0F 01 F8
SYSCALL	0F 05
SYSENTER	0F 34
SYSEXIT	0F 35
SYSEXIT	REX.W + 0F 35
SYSRET	0F 07
SYSRET	REX.W + 0F 07
TEST AL, imm8	A8
TEST AX, imm16	A9
TEST EAX, imm32	A9
TEST RAX, imm32	REX.W + A9
TEST r/m8, imm8	F6 /0
TEST r/m8, imm8	REX + F6 /0
TEST r/m16, imm16	F7 /0
TEST r/m32, imm32	F7 /0
TEST r/m64, imm32	REX.W + F7 /0
TEST r/m8, r8	84
TEST r/m8, r8	REX + 84
TEST r/m16, r16	85
TEST r/m32, r32	85
TEST r/m64, r64	REX.W + 85
TZCNT r16, r/m16	F3 0F BC
TZCNT r32, r/m32	F3 0F BC
TZCNT r64, r/m64	F3 REX.W 0F BC
UCOMISD xmm1, xmm2/m64	66 0F 2E
UCOMISS xmm1, xmm2/m32	0F 2E
UD2	0F 0B
UNPCKHPD xmm1, xmm2/m128	66 0F 15
UNPCKHPS xmm1, xmm2/m128	NP 0F 15
UNPCKLPD xmm1, xmm2/m128	66 0F 14
UNPCKLPS xmm1, xmm2/m128	NP 0F 14
VERR r/m16	0F 00 /4
VERW r/m16	0F 00 /5
WAIT	9B
WAIT	9B
WBINVD	0F 09
WRFSBASE r32	F3 0F AE /2
WRFSBASE r64	F3 REX.W 0F AE /2
WRGSBASE r32	F3 0F AE /3
WRGSBASE r64	F3 REX.W 0F AE /3
WRMSR	0F 30
WRPKRU	0F 01 EF
XABORT imm8	C6 F8
XACQUIRE	F2
XRELEASE	F3
XADD r/m8, r8	0F C0
XADD r/m8, r8	REX + 0F C0
XADD r/m16, r16	0F C1
XADD r/m32, r32	0F C1
XADD r/m64, r64	REX.W + 0F C1
XBEGIN rel16	C7 F8
XBEGIN rel32	C7 F8
XCHG AX, r16	90
XCHG r16, AX	90
XCHG EAX, r32	90
XCHG RAX, r64	REX.W + 90
XCHG r32, EAX	90
XCHG r64, RAX	REX.W + 90
XCHG r/m8, r8	86
XCHG r/m8, r8	REX + 86
XCHG r8, r/m8	86
XCHG r8, r/m8	REX + 86
XCHG r/m16, r16	87
XCHG r16, r/m16	87
XCHG r/m32, r32	87
XCHG r/m64, r64	REX.W + 87
XCHG r32, r/m32	87
XCHG r64, r/m64	REX.W + 87
XEND	0F 01 D5
XGETBV	0F 01 D0
XLAT m8	D7
XLATB	D7
XLATB	REX.W + D7
XOR AL, imm8	34
XOR AX, imm16	35
XOR EAX, imm32	35
XOR RAX, imm32	REX.W + 35
XOR r/m8, imm8	80 /6
XOR r/m8, imm8	REX + 80 /6
XOR r/m16, imm16	81 /6
XOR r/m32, imm32	81 /6
XOR r/m64, imm32	REX.W + 81 /6
XOR r/m16, imm8	83 /6
XOR r/m32, imm8	83 /6
